focal_class,scene,cluster
chair,0000058-000002010960,0
chair,0000064-000002152905,6
chair,0000067-000002279088,0
chair,0000068-000002841171,1
chair,0000072-000444071014,4
chair,0000075-000112140999,5
chair,0000079-000002714796,0
chair,0000080-000002647764,0
chair,0000082-000003385116,2
chair,0000084-000002905144,1
chair,0000086-000002875992,0
chair,0000086-000002940194,0
chair,0000088-000834398010,5
chair,0000093-000118464996,5
chair,0000100-000003342080,0
chair,0000101-000003351600,0
chair,0000103-000003720276,0
chair,0000107-000003569895,0
chair,0000110-000003653244,4
chair,0000110-000004012618,8
chair,0000115-000003844746,0
chair,0000128-000005764752,3
chair,0000134-000835929016,8
chair,0000139-000004747070,0
chair,0000140-000004658724,0
chair,0000141-000130634995,0
chair,0000143-000005697720,0
chair,0000145-000004830915,1
chair,0000153-000006345759,2
chair,0000155-000005194980,7
chair,0000155-000006407454,0
chair,0000157-000005262012,0
chair,0000158-000005262012,6
chair,0000162-000006921989,4
chair,0000165-000005621115,0
chair,0000167-000005859661,0
chair,0000167-000006837264,1
chair,0000168-000006032880,4
chair,0000169-000005630688,4
chair,0000172-000005798268,7
chair,0000174-000005798268,6
chair,0000175-000005865300,4
chair,0000182-000007631356,1
chair,0000185-000006166944,0
chair,0000189-000006470655,0
chair,0000191-000006371044,0
chair,0000194-000006468588,1
chair,0000194-000006720057,5
chair,0000194-000277289001,0
chair,0000199-000006669684,1
chair,0000205-000006965718,0
chair,0000207-000006967430,0
chair,0000209-000007007443,0
chair,0000211-000007061770,0
chair,0000214-000007166040,0
chair,0000217-000007239456,8
chair,0000218-000007373520,1
chair,0000218-000007556613,5
chair,0000221-000007373520,6
chair,0000224-000007474068,0
chair,0000232-000007976808,0
chair,0000234-000007839493,1
chair,0000237-000010013595,1
chair,0000238-000007967214,0
chair,0000238-000009696108,8
chair,0000239-000010119043,3
chair,0000242-000008077356,1
chair,0000242-000008094816,0
chair,0000243-000008110872,1
chair,0000243-000008311968,1
chair,0000249-000008311968,1
chair,0000249-000008335542,0
chair,0000252-000008412516,0
chair,0000260-000010764763,2
chair,0000262-000008917323,7
chair,0000267-000011127312,0
chair,0000269-000008985593,1
chair,0000275-000013138272,1
chair,0000277-000009341750,0
chair,0000278-000840801025,5
chair,0000279-000009350964,0
chair,0000280-000009405944,9
chair,0000283-000013146653,6
chair,0000285-000009641860,1
chair,0000287-000009609244,0
chair,0000289-000009686796,0
chair,0000290-000125190002,8
chair,0000294-000009920736,4
chair,0000295-000009853704,0
chair,0000298-000009954252,0
chair,0000298-000010255896,2
chair,0000299-000009992063,0
chair,0000299-000010222380,0
chair,0000302-000013189930,8
chair,0000303-000012702564,4
chair,0000306-000010222380,3
chair,0000311-000157225998,4
chair,0000315-000012893221,0
chair,0000315-000014881104,3
chair,0000316-000010557540,0
chair,0000316-000010581536,0
chair,0000319-000010779950,0
chair,0000320-000010816095,7
chair,0000321-000013171788,1
chair,0000323-000010792152,4
chair,0000327-000010944382,0
chair,0000333-000011127312,1
chair,0000333-000194072006,0
chair,0000334-000011456833,0
chair,0000340-000011361924,0
chair,0000341-000011730600,0
chair,0000348-000016154712,4
chair,0000349-000011904970,0
chair,0000352-000014723508,8
chair,0000357-000012300372,0
chair,0000359-000012015711,0
chair,0000364-000014617577,0
chair,0000366-000015655000,1
chair,0000367-000088722000,4
chair,0000372-000844148987,5
chair,0000382-000012805711,0
chair,0000385-000123306000,8
chair,0000386-000012920859,0
chair,0000387-000012946800,0
chair,0000391-000013272336,5
chair,0000395-000222791000,0
chair,0000396-000013238820,4
chair,0000397-000013305852,0
chair,0000398-000013305852,1
chair,0000399-000013356828,0
chair,0000399-000013540464,1
chair,0000400-000013372884,4
chair,0000401-000013426693,1
chair,0000403-000013607496,7
chair,0000414-000013842108,4
chair,0000414-000013855232,4
chair,0000414-000014076720,1
chair,0000414-000017495352,3
chair,0000418-000013980467,0
chair,0000420-000014143752,0
chair,0000422-000014110236,5
chair,0000427-000014277816,0
chair,0000429-000014596317,5
chair,0000429-000014628489,1
chair,0000430-000014378364,5
chair,0000431-000014411880,2
chair,0000434-000014580082,1
chair,0000435-000014571658,0
chair,0000436-000014612976,0
chair,0000450-000015048684,1
chair,0000453-000015390634,0
chair,0000454-000015304610,1
chair,0000454-000015481531,0
chair,0000456-000015450876,0
chair,0000457-000015397777,0
chair,0000461-000015417360,3
chair,0000467-000015651972,0
chair,0000470-000020563450,0
chair,0000472-000015819552,0
chair,0000476-000015951164,1
chair,0000484-000295381989,4
chair,0000486-000016255260,1
chair,0000486-000016584376,0
chair,0000489-000016359113,1
chair,0000492-000020923968,1
chair,0000493-000021081564,0
chair,0000495-000016598301,1
chair,0000497-000016644246,4
chair,0000497-000016715270,0
chair,0000499-000021383208,6
chair,0000500-000016724484,7
chair,0000501-000016758000,4
chair,0000501-000235651001,0
chair,0000504-000016858548,0
chair,0000505-000016892064,4
chair,0000513-000017260740,1
chair,0000513-000022519963,3
chair,0000514-000017249047,0
chair,0000514-000020823617,4
chair,0000527-000017883803,1
chair,0000528-000017662932,0
chair,0000533-000022961488,1
chair,0000536-000018299736,0
chair,0000541-000018122308,0
chair,0000544-000018216648,0
chair,0000549-000018390342,0
chair,0000549-000018400956,1
chair,0000550-000018528738,0
chair,0000550-000022931071,2
chair,0000556-000018604384,7
chair,0000563-000018835992,0
chair,0000563-000018859402,0
chair,0000563-000022924944,8
chair,0000564-000018903024,2
chair,0000566-000023126040,0
chair,0000568-000019049178,2
chair,0000568-000025732599,0
chair,0000569-000019179697,4
chair,000056_2014-05-14_23-12-27_260595134347_rgbf000171-resize,0
chair,0000571-000019104120,0
chair,0000578-000019516598,0
chair,000057_2014-05-14_23-13-06_260595134347_rgbf000413-resize,0
chair,0000582-000019472796,4
chair,0000582-000019774440,4
chair,0000586-000026209512,4
chair,0000589-000019958877,0
chair,0000590-000019980226,5
chair,0000595-000019942020,0
chair,0000595-000851784973,0
chair,0000598-000025975504,4
chair,0000599-000020277180,0
chair,0000600-000023595264,1
chair,0000602-000020179231,0
chair,0000607-000020344212,0
chair,000060_2014-04-29_14-37-21_094959634447_rgbf000100-resize,0
chair,0000610-000020511792,1
chair,0000610-000026477640,3
chair,0000615-000020602746,0
chair,0000615-000026991615,8
chair,0000619-000020754285,0
chair,000061_2014-04-29_14-37-44_094959634447_rgbf000100-resize,0
chair,0000621-000020779920,4
chair,0000623-000021081564,1
chair,0000625-000027866196,1
chair,0000627-000020981016,4
chair,000062_2014-04-29_14-38-23_094959634447_rgbf000050-resize,0
chair,0000634-000021457030,1
chair,0000637-000021339481,0
chair,0000638-000021349692,4
chair,000063_2014-04-29_14-38-52_094959634447_rgbf000101-resize,1
chair,0000642-000021483756,8
chair,0000645-000021584304,0
chair,0000646-000026952762,1
chair,0000648-000028942450,0
chair,000064_2014-04-29_14-39-49_094959634447_rgbf002016-resize,1
chair,0000650-000021783210,1
chair,0000652-000022254624,4
chair,0000658-000022294935,0
chair,0000659-000022352311,0
chair,000065_2014-05-16_20-14-38_260595134347_rgbf000121-resize,1
chair,0000663-000022388688,4
chair,0000666-000022318405,1
chair,0000667-000022321656,5
chair,0000672-000022506435,0
chair,0000675-000022656816,4
chair,0000684-000022891428,2
chair,0000689-000023059008,4
chair,0000691-000028297685,4
chair,0000698-000023360652,0
chair,0000698-000023561748,0
chair,0000700-000023427684,0
chair,0000700-000023461200,0
chair,0000701-000029225952,1
chair,0000703-000023555364,0
chair,0000706-000023988154,5
chair,0000716-000029867357,1
chair,0000716-000733661011,4
chair,0000719-000024198552,0
chair,0000721-000024232068,1
chair,0000726-000024299100,6
chair,0000734-000024591224,0
chair,0000736-000024670375,1
chair,0000736-000024902388,0
chair,0000739-000024768996,1
chair,0000739-000024974110,0
chair,000073_2014-05-16_20-16-23_260595134347_rgbf000431-resize,1
chair,0000744-000024912012,0
chair,0000745-000025036452,0
chair,0000748-000025053912,0
chair,0000748-000025060026,0
chair,000074_2014-05-14_21-23-48_260595134347_rgbf000100-resize,4
chair,0000751-000025160305,0
chair,0000755-000025271064,4
chair,0000756-000025324873,0
chair,0000762-000025760063,0
chair,0000766-000034170946,0
chair,0000767-000025676561,7
chair,000076_2014-05-14_21-31-07_260595134347_rgbf000150-resize,1
chair,0000772-000759000977,1
chair,0000773-000381813995,0
chair,0000775-000032711616,4
chair,0000776-000026096762,0
chair,0000778-000026343576,0
chair,000077_2014-05-14_21-31-56_260595134347_rgbf000150-resize,0
chair,0000780-000026108964,1
chair,0000781-000026383882,1
chair,0000788-000026377092,0
chair,0000793-000033119706,1
chair,0000794-000037388033,4
chair,0000796-000026645220,5
chair,0000798-000026742517,0
chair,0000804-000026940480,0
chair,0000804-000026958954,0
chair,0000805-000026946864,8
chair,0000805-000034420932,6
chair,0000805-000035292348,3
chair,0000806-000027004048,0
chair,000080_2014-05-14_21-36-38_260595134347_rgbf000132-resize,0
chair,0000813-000033180840,1
chair,0000814-000027248508,0
chair,000081_2014-05-14_21-37-23_260595134347_rgbf000151-resize,4
chair,0000821-000027717732,1
chair,0000824-000027784764,0
chair,0000826-000027668866,1
chair,0000830-000027784764,0
chair,0000833-000143778000,0
chair,0000836-000027990471,0
chair,0000837-000028354536,0
chair,0000838-000028195501,4
chair,0000841-000028589148,4
chair,0000844-000028253988,4
chair,0000848-000028388052,0
chair,0000848-000028405512,0
chair,0000849-000028522116,0
chair,0000849-000028689696,1
chair,0000850-000028455084,1
chair,0000851-000037485288,1
chair,0000852-000028563513,0
chair,0000854-000028589148,1
chair,0000859-000038133519,0
chair,0000860-000028823760,0
chair,0000861-000035570657,4
chair,0000864-000036163764,0
chair,0000867-000029045149,0
chair,0000875-000029324310,0
chair,0000879-000029427048,0
chair,0000884-000029594628,4
chair,0000885-000038579944,0
chair,0000885-000176498993,8
chair,0000887-000041275889,4
chair,0000888-000029759756,3
chair,000088_2014-05-14_21-45-08_260595134347_rgbf000151-resize,0
chair,0000894-000030171190,1
chair,0000898-000030303154,0
chair,000089_2014-05-14_21-46-22_260595134347_rgbf000114-resize,0
chair,0000906-000030331980,8
chair,0000906-000030466044,7
chair,0000911-000030499560,1
chair,0000911-000030670188,5
chair,0000912-000030533076,4
chair,0000914-000030834720,0
chair,0000917-000031106508,1
chair,0000923-000030901752,6
chair,0000926-000031025605,0
chair,0000928-000041957756,1
chair,0000929-000031245457,4
chair,000092_2014-05-14_21-48-51_260595134347_rgbf000151-resize,0
chair,0000932-000031361403,0
chair,0000933-000031236912,0
chair,0000939-000038107692,1
chair,000093_2014-05-14_21-50-02_260595134347_rgbf000152-resize,0
chair,0000942-000031551680,3
chair,0000946-000040108360,1
chair,000094_2014-05-14_21-50-54_260595134347_rgbf000151-resize,0
chair,0000951-000031840200,4
chair,0000953-000041559840,4
chair,0000956-000038476368,0
chair,0000958-000032085167,3
chair,0000959-000044685209,0
chair,0000963-000032510520,4
chair,0000965-000032314324,1
chair,000096_2014-05-14_21-53-57_260595134347_rgbf000152-resize,0
chair,0000970-000040793573,4
chair,0000974-000032611068,1
chair,0000975-000032644584,0
chair,0000976-000032678100,4
chair,0000978-000032770846,0
chair,000097_2014-05-14_21-54-38_260595134347_rgbf000150-resize,7
chair,0000985-000033385596,5
chair,0000987-000041258196,1
chair,000098_2014-05-14_21-55-47_260595134347_rgbf000151-resize,0
chair,0000990-000033270640,1
chair,0000991-000033415452,1
chair,0000992-000033465825,0
chair,0000992-000033573730,9
chair,0000993-000033369734,0
chair,0000994-000033281388,0
chair,0000998-000033516000,0
chair,000099_2014-05-14_21-56-17_260595134347_rgbf000150-resize,0
chair,0001000-000149350006,0
chair,0001002-000033583032,0
chair,0001007-000040353264,0
chair,0001010-000034152984,4
chair,0001018-000034177106,0
chair,0001019-000077074997,4
chair,000101_2014-05-14_21-58-34_260595134347_rgbf000151-resize,4
chair,0001020-000034152804,0
chair,0001020-000034163159,3
chair,0001020-000043135092,0
chair,0001022-000034494759,4
chair,0001022-000034554996,5
chair,0001024-000034310442,1
chair,0001026-000044688063,8
chair,0001028-000034420932,0
chair,0001032-000046415384,1
chair,0001036-000232634995,0
chair,000103_2014-05-14_22-01-17_260595134347_rgbf000152-resize,0
chair,0001045-000034990704,0
chair,0001045-000035014372,2
chair,0001049-000035325864,1
chair,0001050-000035175744,0
chair,0001050-000035286738,0
chair,0001071-000035862120,0
chair,0001073-000045682308,7
chair,0001077-000043135092,0
chair,0001078-000036096732,4
chair,0001081-000046559851,2
chair,0001081-000868189026,4
chair,0001084-000036398376,7
chair,0001084-000036517225,0
chair,0001087-000036401380,0
chair,0001091-000047886675,1
chair,0001092-000036565956,4
chair,0001093-000047994912,2
chair,0001096-000036800568,1
chair,0001105-000037001664,1
chair,000110_2014-05-14_23-42-23_260595134347_rgbf000075-resize,0
chair,0001112-000037239581,1
chair,0001116-000037406455,0
chair,000111_2014-05-14_23-42-56_260595134347_rgbf000075-resize,0
chair,0001124-000037809096,0
chair,0001126-000037705500,7
chair,0001127-000046989432,0
chair,000112_2014-05-16_20-05-47_260595134347_rgbf000543-resize,8
chair,0001130-000051332265,2
chair,0001131-000037918686,2
chair,0001139-000038142795,1
chair,0001141-000158757004,1
chair,0001142-000050005872,1
chair,0001145-000038342304,8
chair,0001145-000038375820,0
chair,0001147-000038409336,7
chair,0001149-000038618977,1
chair,000114_2014-05-16_20-11-45_260595134347_rgbf000150-resize,8
chair,0001152-000048067842,1
chair,0001157-000046989432,1
chair,0001159-000038811528,6
chair,000115_2014-05-16_20-12-21_260595134347_rgbf000210-resize,8
chair,000116_2014-05-16_20-12-55_260595134347_rgbf000150-resize,8
chair,0001177-000039438738,0
chair,0001179-000051659391,2
chair,000117_2014-05-16_20-13-33_260595134347_rgbf000149-resize,1
chair,0001183-000039917556,0
chair,0001186-000039716460,0
chair,0001194-000049905324,1
chair,0001195-000040018104,0
chair,0001195-000040152168,0
chair,0001198-000040142648,0
chair,0001200-000040185684,7
chair,0001201-000040219200,0
chair,0001204-000040489395,0
chair,0001208-000040688424,1
chair,0001210-000040755456,0
chair,0001213-000040621392,1
chair,0001219-000040822488,1
chair,000121_2014-04-13_23-35-47_094959634447_rgbf000157-resize,1
chair,0001220-000040856004,3
chair,0001221-000052083864,7
chair,0001222-000040940496,0
chair,0001225-000041224680,4
chair,000122_2014-04-13_23-36-57_094959634447_rgbf000223-resize,1
chair,0001231-000041254945,1
chair,0001231-000041325228,4
chair,0001235-000041358744,0
chair,0001237-000041467173,6
chair,0001237-000041654986,0
chair,0001239-000041492808,3
chair,000123_2014-04-13_23-37-59_094959634447_rgbf000226-resize,1
chair,0001249-000042005834,0
chair,0001250-000042065125,0
chair,0001255-000042052638,0
chair,0001256-000042062580,5
chair,0001258-000042209151,0
chair,0001259-000042485203,7
chair,000125_2014-04-11_16-49-33_094959634447_rgbf000310-resize,6
chair,0001260-000042408087,1
chair,000126_2014-04-11_16-52-13_094959634447_rgbf000429-resize,6
chair,0001279-000042833448,4
chair,000127_2014-04-11_16-55-01_094959634447_rgbf000149-resize,3
chair,0001282-000043092003,1
chair,000128_2014-04-11_17-03-40_094959634447_rgbf000180-resize,3
chair,0001295-000059709689,4
chair,0001296-000043403220,3
chair,0001297-000043568010,4
chair,0001299-000043570800,5
chair,0001305-000043833318,0
chair,0001307-000055536012,1
chair,0001309-000043838928,3
chair,0001309-000044009556,5
chair,000130_2014-04-11_17-21-46-RobotInRoom_094959634447_rgbf000614-resize,1
chair,0001311-000043939476,0
chair,0001314-000044290149,0
chair,0001314-000055703592,0
chair,000131_2014-04-12_16-52-53_094959634447_rgbf000046-resize,0
chair,0001320-000044566978,0
chair,0001323-000055173234,0
chair,0001327-000059275557,9
chair,0001328-000044944956,1
chair,0001332-000053960760,1
chair,0001333-000044643312,7
chair,0001336-000044777376,4
chair,0001336-000057985708,1
chair,0001337-000045018778,1
chair,0001340-000044881229,7
chair,0001340-000044911440,4
chair,0001342-000044944956,0
chair,0001345-000059114535,1
chair,000134_2014-05-20_17-02-34_260595134347_rgbf000101-resize,0
chair,0001351-000092538002,8
chair,0001352-000058820628,6
chair,0001353-000045349274,1
chair,0001365-000045739492,2
chair,000136_2014-05-20_17-04-10_260595134347_rgbf000200-resize,3
chair,0001370-000057182897,4
chair,0001374-000046271855,0
chair,0001377-000046118016,0
chair,0001377-000046141426,0
chair,0001379-000058116744,0
chair,0001379-000878177979,8
chair,000137_2014-05-20_17-04-49_260595134347_rgbf000120-resize,3
chair,0001382-000046285596,5
chair,0001384-000046376550,0
chair,0001388-000046486692,0
chair,0001389-000046537407,1
chair,000138_2014-05-20_17-10-15_260595134347_rgbf000140-resize,8
chair,0001390-000046889064,4
chair,0001393-000046677846,0
chair,0001397-000046822524,0
chair,0001399-000046989432,0
chair,0001404-000047022948,5
chair,0001404-000058787064,1
chair,0001405-000047157012,1
chair,0001406-000047157012,0
chair,0001408-000047278874,0
chair,0001409-000047203652,4
chair,0001410-000047453254,0
chair,0001415-000063106352,1
chair,000141_2014-05-20_17-12-29_260595134347_rgbf000050-resize,0
chair,0001428-000047891912,1
chair,000142_2014-05-20_17-13-59_260595134347_rgbf000121-resize,0
chair,0001439-000048196008,4
chair,0001441-000048502342,0
chair,0001447-000048464136,0
chair,0001448-000048499239,1
chair,0001448-000048507276,0
chair,0001449-000048561433,0
chair,0001449-000065693506,6
chair,000144_2014-05-20_17-15-53_260595134347_rgbf000151-resize,3
chair,0001451-000048598200,1
chair,0001453-000048665232,1
chair,0001455-000062641404,4
chair,0001456-000048866328,4
chair,0001457-000048799296,1
chair,0001457-000048832812,0
chair,0001457-000062818968,0
chair,0001460-000064088719,9
chair,0001464-000049051368,0
chair,0001471-000068783213,0
chair,0001473-000049335552,0
chair,0001474-000165401993,4
chair,0001486-000049781615,1
chair,0001487-000049905324,0
chair,0001489-000049871808,2
chair,000149_2014-05-20_17-21-34_260595134347_rgbf000130-resize,0
chair,0001502-000050312127,1
chair,0001505-000064082592,1
chair,000150_2014-05-20_17-22-26_260595134347_rgbf000172-resize,0
chair,0001511-000063445788,1
chair,0001512-000050660136,0
chair,0001514-000067213980,1
chair,000151_2014-05-20_17-24-31_260595134347_rgbf000151-resize,0
chair,0001520-000050934472,0
chair,0001521-000050944320,0
chair,0001525-000051248031,0
chair,0001531-000051437487,4
chair,0001531-000066998532,2
chair,0001537-000051545156,1
chair,0001538-000051768479,0
chair,0001538-000065701966,0
chair,0001550-000052016832,1
chair,0001560-000052251444,0
chair,0001562-000052341886,0
chair,0001562-000052354118,0
chair,0001563-000067805896,0
chair,0001567-000068942412,1
chair,0001570-000052603803,0
chair,0001576-000052787700,2
chair,0001579-000053022312,0
chair,0001579-000053089344,1
chair,0001579-000067266612,3
chair,0001584-000053055828,4
chair,0001585-000053102468,3
chair,000158_2014-05-20_17-33-37_260595134347_rgbf000100-resize,4
chair,0001597-000053494540,0
chair,0001598-000053548626,0
chair,0001599-000053893908,8
chair,000159_2014-05-16_20-26-45_260595134347_rgbf000090-resize,6
chair,0001600-000053720538,0
chair,0001606-000074289149,4
chair,0001614-000054094824,8
chair,0001615-000054390829,1
chair,0001618-000054204996,0
chair,0001623-000054362952,4
chair,0001630-000071616003,1
chair,0001632-000054664596,4
chair,0001637-000055035817,1
chair,0001642-000055033272,0
chair,0001642-000055045362,1
chair,0001643-000055066788,4
chair,0001647-000066797388,1
chair,0001648-000055430062,1
chair,0001650-000055507186,5
chair,0001654-000055502496,7
chair,0001659-000069622913,1
chair,0001660-000055971720,0
chair,0001679-000070288950,1
chair,0001682-000056340396,1
chair,0001693-000056776104,5
chair,0001697-000056943684,7
chair,0001708-000057479940,6
chair,0001708-000074874744,7
chair,000170_2014-05-12_16-17-31_260595134347_rgbf000152-resize,4
chair,0001714-000057742024,1
chair,0001715-000057459548,4
chair,0001716-000075276984,6
chair,0001727-000058207990,2
chair,0001735-000058116744,4
chair,0001736-000058451904,1
chair,0001745-000076911531,1
chair,0001746-000058485420,1
chair,0001750-000058653000,0
chair,0001751-000058949005,5
chair,0001751-000077307165,0
chair,0001752-000073835748,0
chair,0001754-000058753548,3
chair,0001754-000058769392,7
chair,0001764-000059112630,0
chair,0001772-000059457384,7
chair,0001772-000074841228,0
chair,0001774-000059423868,0
chair,0001782-000059850003,4
chair,0001788-000060134494,1
chair,0001789-000060127704,1
chair,0001790-000059960124,7
chair,0001796-000078022459,6
chair,0001802-000060388030,0
chair,0001813-000061019673,1
chair,0001828-000076785156,1
chair,0001829-000061267248,1
chair,0001829-000061334280,0
chair,0001837-000061754773,0
chair,0001837-000061870536,0
chair,0001838-000061592466,0
chair,0001844-000061870536,0
chair,000184_2014-05-12_16-30-40_260595134347_rgbf005763-resize,4
chair,0001852-000062292503,0
chair,0001857-000062205696,4
chair,0001857-000079432920,6
chair,0001866-000062531336,0
chair,000186_2014-05-12_16-44-58_260595134347_rgbf000322-resize,4
chair,0001871-000082449360,1
chair,0001871-000085300366,6
chair,0001872-000062708436,0
chair,0001882-000063043596,0
chair,0001887-000063211176,9
chair,0001887-000063244692,3
chair,0001896-000063546336,7
chair,000189_2014-05-12_16-59-00_260595134347_rgbf000242-resize,1
chair,0001906-000063914611,0
chair,0001908-000064049076,2
chair,0001913-000064116108,1
chair,0001923-000064451940,0
chair,0001926-000064551816,8
chair,0001933-000064752912,3
chair,0001948-000065279320,1
chair,0001950-000065356200,0
chair,0001950-000079164792,1
chair,0001951-000084966088,1
chair,0001954-000065791908,0
chair,0001964-000065815213,0
chair,0001966-000065882350,0
chair,0001973-000066093552,0
chair,0001979-000066294648,6
chair,0001980-000066696840,0
chair,0001982-000066395196,0
chair,0001982-000066649583,0
chair,0001986-000066533871,1
chair,0001988-000066620214,0
chair,0001990-000182753998,5
chair,0001991-000066696840,4
chair,0001996-000066877544,3
chair,0002002-000067065516,1
chair,0002009-000088113564,4
chair,0002016-000067823421,0
chair,0002016-000067863856,1
chair,0002023-000067792926,0
chair,0002024-000085164156,0
chair,0002025-000067872026,0
chair,0002030-000068333080,1
chair,0002030-000088923470,1
chair,0002038-000085509497,1
chair,0002048-000068674284,4
chair,0002058-000215875000,0
chair,0002067-000069263832,9
chair,0002077-000180529999,8
chair,0002081-000069713280,4
chair,0002082-000069746796,4
chair,0002091-000070081956,8
chair,0002093-000070115472,1
chair,0002101-000070419715,1
chair,0002114-000070819308,4
chair,0002118-000070976782,0
chair,0002123-000095690687,4
chair,0002129-000071422596,0
chair,000213_2014-06-02_15-36-21_260595134347_rgbf000240-resize,2
chair,0002140-000071690724,4
chair,0002145-000072092916,0
chair,0002149-000071992368,0
chair,0002155-000094232745,0
chair,0002158-000072304367,4
chair,0002166-000072595656,1
chair,0002168-000092514766,1
chair,0002171-000072729720,6
chair,0002173-000090158040,8
chair,0002178-000072997848,0
chair,0002178-000095827766,4
chair,000218_2014-06-02_15-39-45_260595134347_rgbf000068-resize,1
chair,0002190-000098957374,5
chair,0002196-000073802232,0
chair,0002198-000073930657,0
chair,000219_2014-06-02_15-40-07_260595134347_rgbf000132-resize,1
chair,0002211-000074079984,0
chair,0002215-000074332878,0
chair,0002215-000074472552,6
chair,0002222-000074539584,0
chair,0002232-000095185440,3
chair,0002235-000074874744,1
chair,0002235-000075203860,0
chair,0002236-000097743891,1
chair,0002248-000075488318,0
chair,0002250-000075377484,1
chair,0002253-000075679128,0
chair,0002253-000099106812,1
chair,0002257-000075678727,0
chair,0002268-000076269453,0
chair,0002271-000100084298,4
chair,0002282-000192697998,4
chair,0002284-000076517028,6
chair,0002295-000223837997,7
chair,0002296-000077032275,0
chair,0002297-000076957347,1
chair,0002302-000077455476,0
chair,0002318-000077991732,0
chair,0002320-000096794208,1
chair,0002322-000077824152,0
chair,0002322-000077891184,1
chair,0002322-000107034281,4
chair,0002323-000077849866,0
chair,0002330-000078058764,1
chair,0002333-000078293376,0
chair,0002335-000078561504,0
chair,0002336-000078259860,0
chair,0002336-000078270215,4
chair,0002340-000078393924,2
chair,0002344-000078595020,1
chair,0002346-000100122898,1
chair,0002348-000078662052,4
chair,0002351-000078775724,4
chair,0002353-000078863148,0
chair,0002358-000079030728,0
chair,0002362-000103845874,1
chair,0002366-000079282539,1
chair,0002366-000079564123,8
chair,0002369-000103500436,1
chair,0002369-000110343053,0
chair,0002370-000079728520,1
chair,0002370-000102726540,1
chair,0002371-000079575529,4
chair,0002374-000101218320,4
chair,0002385-000893953979,8
chair,0002394-000080239903,0
chair,0002401-000080471916,0
chair,0002412-000080907624,5
chair,0002415-000080930929,0
chair,0002418-000081032094,1
chair,0002420-000081434578,0
chair,0002425-000197548996,1
chair,0002426-000081276300,0
chair,0002426-000081343536,0
chair,0002429-000081376848,1
chair,0002430-000210932007,4
chair,0002431-000081443880,9
chair,0002432-000081812736,7
chair,0002440-000082080684,0
chair,0002446-000082185922,0
chair,0002446-000913896973,4
chair,0002449-000082248264,0
chair,0002459-000082741702,2
chair,000245_2014-06-02_16-06-25_260595134347_rgbf000036-resize,9
chair,0002469-000082753130,0
chair,000246_2014-06-02_16-06-46_260595134347_rgbf000112-resize,7
chair,0002471-000082885068,7
chair,0002472-000083052648,1
chair,0002473-000108960516,1
chair,0002476-000104211425,1
chair,0002479-000083076316,5
chair,000247_2014-06-02_16-07-03_260595134347_rgbf000058-resize,1
chair,0002480-000083119680,0
chair,0002501-000083790000,5
chair,0002503-000083924268,0
chair,0002509-000084058128,4
chair,0002524-000084627900,7
chair,0002548-000085378376,6
chair,0002554-000085633584,4
chair,0002554-000113365512,0
chair,0002556-000112245132,2
chair,0002557-000085666896,3
chair,0002557-000085700412,2
chair,0002559-000085733928,0
