split,stage,scene,classes_present
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0250,window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0253,table|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0257,cabinet|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0260,cabinet|shelf|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0261,shelf|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0262,table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0275,table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0281,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0298,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0299,window|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0302,shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0306,box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0311,table|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0318,chair|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0319,chair|table|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0320,chair|window|door|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0321,window|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0322,window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0382,window|door|cabinet|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0387,cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0396,door|cabinet|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0413,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0414,chair|cabinet|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0420,chair|window|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0423,chair|cabinet|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0424,chair|table|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0429,chair|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0432,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0433,chair|table|window|door|cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0434,chair|window|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0453,box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0469,window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0488,table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0490,chair|table|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0509,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0525,table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0535,chair|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0562,table|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0570,chair|door|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0577,door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0588,table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0591,cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0601,table|shelf|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0604,shelf|desk|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0629,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0630,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0637,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0638,chair|table|window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0639,chair|table|window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0657,chair|table|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0658,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0659,window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0660,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0665,chair|table|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0690,chair|table|window|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0720,door|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0728,chair|window|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0752,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0754,cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0768,cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0773,window|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0783,door|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0785,door|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0788,chair
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0808,cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0820,cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0832,shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0847,shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0039,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0059,chair|door|cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0102,cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0120,chair|table|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0136,cabinet|shelf|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0141,window|cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0162,door|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0163,chair|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0169,cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0339,chair|table|door|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0341,chair|table|window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0365,chair|cabinet|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0385,chair|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0414,chair|table|window|door|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0427,chair|cabinet|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0434,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0444,chair|window|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0467,chair|table|window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0492,chair|table|cabinet|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0506,door|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0523,chair|table|window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0543,door|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0558,table|window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0636,chair|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0641,chair|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0681,door|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0685,box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0690,door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0715,door|cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0723,door|cabinet|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0726,door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0730,door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0733,window|door|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0748,chair|table|window|cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0761,chair|table|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0779,door|cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0912,door|cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1132,chair|cabinet|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1134,chair|desk|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1320,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1377,chair|table|window|cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1394,chair|table|cabinet
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1402,chair|table|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1410,window|door|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-38-28_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-39-12_260595134347,chair|table|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-40-59_260595134347,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-41-25_260595134347,table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-42-23_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-42-41_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-43-17_260595134347,chair|table|window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-43-32_260595134347,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-44-53_260595134347,door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-48-33_260595134347,table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-50-55_260595134347,chair|table|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-51-15_260595134347,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-51-36_260595134347,cabinet|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-52-16_260595134347,table|door|cabinet|shelf|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-53-29_260595134347,table|box
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-54-22_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-56-00_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-56-12_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-56-37_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-57-07_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-57-24_260595134347,window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-59-09_260595134347,chair|window|desk
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_11-59-27_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-00-42_260595134347,chair|table|window|shelf
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-01-00_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-01-20_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-01-36_260595134347,chair|table|window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-01-55_260595134347,table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-02-26_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-02-40_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-02-52_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-03-10_260595134347,chair|table|window
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-03-25_260595134347,chair|table
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-03-56_260595134347,chair|table|window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-04-14_260595134347,door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-05-40_260595134347,table|window|door
Surv-A,Stage 1 – High-freq (structural/furniture),C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-06-04_260595134347,chair|window|door
