scene,scene_type
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0125,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0126,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0127,corridor
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0128,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0129,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0130,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0131,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0132,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0133,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0134,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0135,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0136,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0137,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0138,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0140,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0141,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0142,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0143,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0144,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0145,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0146,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0147,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0148,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0149,discussion_area
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0150,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0151,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0152,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0153,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0154,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0155,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0156,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0157,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0158,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0159,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0160,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0161,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0162,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0163,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0164,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0165,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0166,corridor
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0167,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0168,discussion_area
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0169,corridor
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0170,corridor
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0171,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0172,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0173,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0175,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0176,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0177,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0178,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0179,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0180,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0181,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0182,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0183,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0184,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0185,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0186,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0187,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0188,rest_space
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0189,idk
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0190,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0191,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0192,corridor
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0193,discussion_area
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0194,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0195,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0196,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0197,discussion_area
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0198,idk
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0199,idk
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0200,corridor
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0201,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0202,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0203,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0204,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0205,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0206,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0207,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0208,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0209,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0210,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0211,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0212,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0213,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0214,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0215,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0216,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0217,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0218,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0219,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0220,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0221,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0222,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0223,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0224,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0225,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0226,office_kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0227,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0228,corridor
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0229,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0230,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0231,corridor
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0232,rest_space
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0233,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0234,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0235,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0236,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0237,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0238,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0239,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0240,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0241,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0242,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0243,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0244,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0245,rest_space
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0246,discussion_area
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0247,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0248,discussion_area
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0249,idk
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0250,corridor
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0251,lab
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0252,lab
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0253,lab
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0254,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0255,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0256,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0257,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0258,idk
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0259,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0260,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0261,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0262,printer_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0263,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0264,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0265,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0266,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0267,living_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0268,idk
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0269,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0270,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0271,idk
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0272,rest_space
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0273,rest_space
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0274,rest_space
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0275,idk
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0276,idk
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0277,living_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0278,living_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0279,living_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0280,living_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0281,living_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0282,living_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0283,living_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0284,home_office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0285,home_office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0286,living_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0287,bedroom
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0288,home_office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0289,bedroom
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0290,home_office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0291,bedroom
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0292,bedroom
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0293,bedroom
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0294,bedroom
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0295,bedroom
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0296,home_office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0297,home_office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0298,dining_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0299,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0300,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0301,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0302,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0303,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0304,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0305,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0306,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0307,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0308,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0309,dining_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0310,laundromat
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0311,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0312,dining_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0313,dining_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0314,corridor
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0315,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0316,living_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0317,idk
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0318,home
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0319,dining_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0320,corridor
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0321,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0322,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0331,living_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0339,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0340,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0378,idk
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0381,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0382,bathroom
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0383,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0384,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0385,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0386,dining_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0387,kitchen
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0388,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0393,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0395,dining_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0396,idk
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0397,idk
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0400,dining_room
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0405,bedroom
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0406,bedroom
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0408,bedroom
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0409,bathroom
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0411,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0413,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0414,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0415,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0416,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0418,office
C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0419,office
