rank,class,scene_frequency,pct_of_scenes
372,cuboard,26,0.25
373,woodenwall,26,0.25
374,copymachine,26,0.25
375,chestofdrawers,26,0.25
376,paperroll,25,0.24
377,copier,25,0.24
378,doorlock,25,0.24
379,plugpoint,25,0.24
380,pottedplant,25,0.24
381,chart,25,0.24
382,air_vent,25,0.24
383,bunkbed,25,0.24
384,price,25,0.24
385,pctower,25,0.24
386,calender,24,0.23
387,pole,24,0.23
388,shadow,24,0.23
389,hallway,24,0.23
390,penstand,24,0.23
391,plates,24,0.23
392,misc,24,0.23
393,globe,24,0.23
394,dvd_player,24,0.23
395,cutting_board,24,0.23
396,toaster_oven,24,0.23
397,statue,24,0.23
398,toiletpaperdispenser,24,0.23
399,posterboard,23,0.22
400,duster,23,0.22
401,beam,23,0.22
402,storage,23,0.22
403,spoon,23,0.22
404,envelope,23,0.22
405,island,23,0.22
406,storagebox,23,0.22
407,note,22,0.21
408,whitebox,22,0.21
409,scissors,22,0.21
410,modem,22,0.21
411,magnet,22,0.21
412,cuttingboard,22,0.21
413,building,22,0.21
414,soapdish,22,0.21
415,banana,22,0.21
416,tv_stand,22,0.21
417,dish,22,0.21
418,apple,22,0.21
419,luggage,22,0.21
420,whitewall,22,0.21
421,carpetedfloor,22,0.21
422,darkplace,21,0.2
423,computerchair,21,0.2
424,cieling,21,0.2
425,woodfloor,21,0.2
426,tin,21,0.2
427,plasticcontainer,21,0.2
428,guitar,21,0.2
429,flask,21,0.2
430,electricoutlet,21,0.2
431,decorativeplate,21,0.2
432,leg,21,0.2
433,washbase,21,0.2
434,spraybottle,20,0.19
435,computerdesk,20,0.19
436,room,20,0.19
437,toasteroven,20,0.19
438,hinge,20,0.19
439,draw,20,0.19
440,brush,20,0.19
441,shampoo,20,0.19
442,kettle,20,0.19
443,thermos,20,0.19
444,airduct,20,0.19
445,crate,20,0.19
446,watercooler,20,0.19
447,electricaldevice,19,0.18
448,electronicdevice,19,0.18
449,scale,19,0.18
450,windowshade,19,0.18
451,cups,19,0.18
452,dvdplayer,19,0.18
453,plastic,19,0.18
454,stair,19,0.18
455,teapoy,19,0.18
456,stovetop,19,0.18
457,storagebin,19,0.18
458,cellphone,19,0.18
459,towels,19,0.18
460,tablet,19,0.18
461,woodenrack,19,0.18
462,plasticbottle,19,0.18
463,blender,19,0.18
464,banister,19,0.18
465,shower,19,0.18
466,rightwall,19,0.18
467,towelrack,19,0.18
468,mold,19,0.18
469,woodwall,18,0.17
470,wallframe,18,0.17
471,charger,18,0.17
472,pad,18,0.17
473,bracket,18,0.17
474,carpetfloor,18,0.17
475,scissor,18,0.17
476,deodorant,18,0.17
477,cleaner,18,0.17
478,paperbox,18,0.17
479,shelvingunit,18,0.17
480,mask,18,0.17
481,leftwall,18,0.17
482,airvent,18,0.17
483,blackbox,18,0.17
484,doorwindow,17,0.17
485,fork,17,0.17
486,tabel,17,0.17
487,wallphoto,17,0.17
488,teapot,17,0.17
489,ledge,17,0.17
490,microwaveoven,17,0.17
491,wheel,17,0.17
492,car,17,0.17
493,showcase,17,0.17
494,trashbag,17,0.17
495,organizer,17,0.17
496,woodenchair,17,0.17
497,battery,17,0.17
498,closetdoor,17,0.17
499,entertainmentcenter,17,0.17
500,pictures,17,0.17
501,papertowels,17,0.17
502,urn,17,0.17
503,broom,17,0.17
504,sheets,17,0.17
505,trophy,17,0.17
506,tilewall,17,0.17
507,tablelegs,17,0.17
508,t.v,17,0.17
509,woodstand,17,0.17
510,ceilling,16,0.16
511,faxmachine,16,0.16
512,item,16,0.16
513,plasticbox,16,0.16
514,clipboard,16,0.16
515,headset,16,0.16
516,cartoon,16,0.16
517,tissuepaper,16,0.16
518,garbage,16,0.16
519,dishsoap,16,0.16
520,coffeepot,16,0.16
521,calculator,16,0.16
522,ashtray,16,0.16
523,cell_phone,16,0.16
524,surgeprotector,16,0.16
525,waterfountain,16,0.16
526,piano_bench,16,0.16
527,dressingtable,16,0.16
528,freezer,16,0.16
529,quilt,16,0.16
530,chairlegs,16,0.16
531,headphone,15,0.15
532,hole,15,0.15
533,sidewall,15,0.15
534,monitorstand,15,0.15
535,chalk,15,0.15
536,bike,15,0.15
537,filler,15,0.15
538,woodfurniture,15,0.15
539,notepad,15,0.15
540,key,15,0.15
541,minifridge,15,0.15
542,smalltable,15,0.15
543,handsanitizer,15,0.15
544,flag,15,0.15
545,fileholder,15,0.15
546,mop,15,0.15
547,wallbottomdecor,15,0.15
548,footrest,15,0.15
549,stuffedanimal,15,0.15
550,diningtable,15,0.15
551,bulb,15,0.15
552,futon,15,0.15
553,toiletseat,15,0.15
554,windowpane,15,0.15
555,sweater,15,0.15
556,random,15,0.15
557,almirah,15,0.15
558,plasticcup,14,0.14
559,curtin,14,0.14
560,package,14,0.14
561,papertray,14,0.14
562,microphone,14,0.14
563,peppershaker,14,0.14
564,glasses,14,0.14
565,woodentable,14,0.14
566,toys,14,0.14
567,briefcase,14,0.14
568,spice_rack,14,0.14
569,vessel,14,0.14
570,dryer,14,0.14
571,footboard,14,0.14
572,footstool,14,0.14
573,coffeemachine,14,0.14
574,napkins,14,0.14
575,woman,14,0.14
576,reflection,14,0.14
577,electronicequipment,14,0.14
578,baseboards,14,0.14
579,pc,13,0.13
580,bascket,13,0.13
581,papper,13,0.13
582,ups,13,0.13
583,stackofpaper,13,0.13
584,saltshaker,13,0.13
585,hook,13,0.13
586,holder,13,0.13
587,cables,13,0.13
588,utensil,13,0.13
589,decor,13,0.13
590,toiletpaperroll,13,0.13
591,pants,13,0.13
592,armoire,13,0.13
593,sofaset,13,0.13
594,supportbeam,13,0.13
595,plaque,13,0.13
596,napkin_holder,13,0.13
597,showpiece,13,0.13
598,elevator,13,0.13
599,rod,13,0.13
600,framedpicture,13,0.13
601,woodpanel,13,0.13
602,tapedispenser,13,0.13
603,projectionscreen,13,0.13
604,writingboard,13,0.13
605,plumbing,13,0.13
606,hutch,13,0.13
607,menu,13,0.13
608,chord,13,0.13
609,stage,13,0.13
610,atble,13,0.13
611,woodshelf,13,0.13
612,support,12,0.12
613,helmet,12,0.12
614,teacup,12,0.12
615,tissues,12,0.12
616,bookstand,12,0.12
617,laptopcomputer,12,0.12
618,fabric,12,0.12
619,wheelchair,12,0.12
620,router,12,0.12
621,unknownobject,12,0.12
622,bookrack,12,0.12
623,woodencupboard,12,0.12
624,plantpot,12,0.12
625,cap,12,0.12
626,dishtowel,12,0.12
627,steel,12,0.12
628,soapholder,12,0.12
629,mantle,12,0.12
630,toothbrush_holder,12,0.12
631,displaycase,12,0.12
632,safe,12,0.12
633,wallpaper,12,0.12
634,drapery,12,0.12
635,roomdivider,12,0.12
636,drape,12,0.12
637,drapes,12,0.12
638,dishes,12,0.12
639,chairseat,12,0.12
640,moulding,12,0.12
641,thing,12,0.12
642,lockers,12,0.12
643,armrest,12,0.12
644,corner,11,0.11
645,binders,11,0.11
646,pipeline,11,0.11
647,paperweight,11,0.11
648,deskdrawer,11,0.11
649,glasstable,11,0.11
650,artwork,11,0.11
651,diary,11,0.11
652,pencilsharpener,11,0.11
653,wallposter,11,0.11
654,speakerbox,11,0.11
655,ground,11,0.11
656,salt,11,0.11
657,dishrack,11,0.11
658,penholder,11,0.11
659,showerdoor,11,0.11
660,wal,11,0.11
661,windowscreen,11,0.11
662,candleholder,11,0.11
663,cloths,11,0.11
664,walltrim,11,0.11
665,postercase,11,0.11
666,drum,11,0.11
667,menorah,11,0.11
668,waterdispenser,11,0.11
669,figurine,11,0.11
670,easel,11,0.11
671,base,11,0.11
672,planter,11,0.11
673,advertisement,11,0.11
674,cabnet,11,0.11
675,desktopcomputer,11,0.11
676,stepstool,11,0.11
677,people,11,0.11
678,bookself,11,0.11
679,hamper,11,0.11
680,platform,11,0.11
681,pallet,11,0.11
682,plugin,11,0.11
683,pipes,11,0.11
684,chiar,11,0.11
685,windowledge,11,0.11
686,bedskirt,11,0.11
687,tracklighting,11,0.11
688,chairrail,11,0.11
689,shelfwithdoor,11,0.11
690,grate,10,0.1
691,space,10,0.1
692,saucer,10,0.1
693,tool,10,0.1
694,cycle,10,0.1
695,deskleg,10,0.1
696,dryerasemarker,10,0.1
697,ruler,10,0.1
698,washcloth,10,0.1
699,plants,10,0.1
700,stant,10,0.1
701,material,10,0.1
702,wallet,10,0.1
703,printerpaper,10,0.1
704,folders,10,0.1
705,mobile,10,0.1
706,washer,10,0.1
707,powerplugpoint,10,0.1
708,stackofbooks,10,0.1
709,dvd,10,0.1
710,doorstop,10,0.1
711,food,10,0.1
712,things,10,0.1
713,stoveburner,10,0.1
714,windo,10,0.1
715,exit_sign,10,0.1
716,chessboard,10,0.1
717,trolley,10,0.1
718,bakingdish,10,0.1
719,frying_pan,10,0.1
720,salt_shaker,10,0.1
721,crock_pot,10,0.1
722,stroller,10,0.1
723,stick,10,0.1
724,pricesign,10,0.1
725,hardwoodfloor,10,0.1
726,cushionchair,10,0.1
727,woodendoor,10,0.1
728,woodenbench,10,0.1
729,human,10,0.1
730,bookbag,10,0.1
731,storagecontainer,10,0.1
732,garbagebin,10,0.1
733,cahir,10,0.1
734,extra,10,0.1
735,ac,10,0.1
736,dispenser,10,0.1
737,foldingtable,10,0.1
738,rag,10,0.1
739,toolbox,10,0.1
740,glasspartition,10,0.1
741,wastbin,10,0.1
742,watercloset,10,0.1
743,tablewithdrawer,9,0.09
744,junk,9,0.09
745,windowglass,9,0.09
746,dividingwall,9,0.09
747,wallpicture,9,0.09
748,office,9,0.09
749,wallpanel,9,0.09
750,filefolder,9,0.09
751,papershredder,9,0.09
752,bottile,9,0.09
753,certificate,9,0.09
754,drawing,9,0.09
755,photograph,9,0.09
756,pencilholder,9,0.09
757,coaster,9,0.09
758,cupboarddoor,9,0.09
759,doorjamb,9,0.09
760,tupperware,9,0.09
761,powerplug,9,0.09
762,flowerwase,9,0.09
763,pant,9,0.09
764,watertap,9,0.09
765,marble,9,0.09
766,fruit,9,0.09
767,woodenshelf,9,0.09
768,packet,9,0.09
769,laundry,9,0.09
770,tape_dispenser,9,0.09
771,platter,9,0.09
772,wine_glass,9,0.09
773,shoppingcart,9,0.09
774,barrel,9,0.09
775,bookend,9,0.09
776,cane,9,0.09
777,chimney,9,0.09
778,medal,9,0.09
779,shredder,9,0.09
780,kabat,9,0.09
781,overheadprojector,9,0.09
782,conferencetable,9,0.09
783,woodtable,9,0.09
784,foldingchair,9,0.09
785,wallclock,9,0.09
786,photos,9,0.09
787,post,9,0.09
788,outlets,9,0.09
789,wallsocket,9,0.09
790,stackofpapers,9,0.09
791,redwall,9,0.09
792,electricalbox,9,0.09
793,plywood,9,0.09
794,equipment,9,0.09
795,woodenpartition,9,0.09
796,coathanger,9,0.09
797,wastebox,9,0.09
798,magazines,9,0.09
799,hall,9,0.09
800,waterpipe,9,0.09
801,stall,9,0.09
802,salesign,9,0.09
803,background,9,0.09
804,tiledfloor,9,0.09
805,tablestand,9,0.09
806,soapbox,9,0.09
807,tug,9,0.09
808,cardboardwall,8,0.08
809,chairarm,8,0.08
810,flashlight,8,0.08
811,messageboard,8,0.08
812,stickynote,8,0.08
813,wallboard,8,0.08
814,border,8,0.08
815,ad,8,0.08
816,sweatshirt,8,0.08
817,pouch,8,0.08
818,booksrack,8,0.08
819,wall.,8,0.08
820,postcard,8,0.08
821,tower,8,0.08
822,holepunch,8,0.08
823,throw,8,0.08
824,floor.,8,0.08
825,cooker,8,0.08
826,burner,8,0.08
827,shoppingbag,8,0.08
828,grill,8,0.08
829,handsoap,8,0.08
830,hairdryer,8,0.08
831,dryingrack,8,0.08
832,computerkeyboard,8,0.08
833,scarf,8,0.08
834,button,8,0.08
835,razor,8,0.08
836,phonejack,8,0.08
837,houseplant,8,0.08
838,dinningtable,8,0.08
839,opening,8,0.08
840,woodenbox,8,0.08
841,officesupplies,8,0.08
842,album,8,0.08
843,dog,8,0.08
844,plasticbowl,8,0.08
845,foor,8,0.08
846,hole_puncher,8,0.08
847,hair_brush,8,0.08
848,shaver,8,0.08
849,cd_disc,8,0.08
850,hot_water_heater,8,0.08
851,napkindispenser,8,0.08
852,ladle,8,0.08
853,step_stool,8,0.08
854,decorativeplatter,8,0.08
855,candelabra,8,0.08
856,shoerack,8,0.08
857,recycling_bin,8,0.08
858,electronics,8,0.08
859,pinboard,8,0.08
860,bedlamp,8,0.08
861,boxspring,8,0.08
862,pilar,8,0.08
863,flowerwash,8,0.08
864,steelrack,8,0.08
865,cusion,8,0.08
866,trolly,8,0.08
867,signs,8,0.08
868,tubelight,8,0.08
869,loungechair,8,0.08
870,handdryer,8,0.08
871,pieceofpaper,8,0.08
872,cube,8,0.08
873,doorstopper,8,0.08
874,powercable,8,0.08
875,noticepaper,8,0.08
876,plasticbin,8,0.08
877,worktable,8,0.08
878,doorjam,8,0.08
879,woodwork,8,0.08
880,sodacan,8,0.08
881,garbagebag,8,0.08
882,wallswitch,8,0.08
883,cautionsign,8,0.08
884,drink,8,0.08
885,tissueholder,8,0.08
886,exit,8,0.08
887,mirrorframe,8,0.08
888,chain,8,0.08
889,controlpanel,8,0.08
890,spicket,8,0.08
891,matt,8,0.08
892,microoven,8,0.08
893,soafa,8,0.08
894,postit,7,0.07
895,cubicledivider,7,0.07
896,carboard,7,0.07
897,tablewithdrawers,7,0.07
898,woodboard,7,0.07
899,officeequipment,7,0.07
900,paperwork,7,0.07
901,sharpie,7,0.07
902,booklet,7,0.07
903,pens,7,0.07
904,watch,7,0.07
905,dairy,7,0.07
906,cdplayer,7,0.07
907,receipt,7,0.07
908,bread,7,0.07
909,bottiles,7,0.07
910,cerealbox,7,0.07
911,range,7,0.07
912,pepper,7,0.07
913,cabinetdrawer,7,0.07
914,canister,7,0.07
915,fence,7,0.07
916,landphone,7,0.07
917,adapter,7,0.07
918,keybord,7,0.07
919,glasswindows,7,0.07
920,boot,7,0.07
921,flooring,7,0.07
922,woodenfloor,7,0.07
923,mail,7,0.07
924,computermoniter,7,0.07
925,deskorganizer,7,0.07
926,spatula,7,0.07
927,latch,7,0.07
928,rangehood,7,0.07
929,caboard,7,0.07
930,unidentifiable,7,0.07
931,curtins,7,0.07
932,mouthwash,7,0.07
933,cream,7,0.07
934,water_purifier,7,0.07
935,suits_case,7,0.07
936,spicebottle,7,0.07
937,toy_house,7,0.07
938,treadmill,7,0.07
939,window_frame,7,0.07
940,furnace,7,0.07
941,belt,7,0.07
942,glove,7,0.07
943,comb,7,0.07
944,scenery,7,0.07
945,jeans,7,0.07
946,servingdish,7,0.07
947,recycle_bin,7,0.07
948,net,7,0.07
949,metal,7,0.07
950,walkway,7,0.07
951,booth,7,0.07
952,ventilator,7,0.07
953,pantry,7,0.07
954,matdesign,7,0.07
955,teatable,7,0.07
956,chinacabinet,7,0.07
957,walldecoration,7,0.07
958,showerwall,7,0.07
959,pricestand,7,0.07
960,bedding,7,0.07
961,kitchencabinets,7,0.07
962,barstool,7,0.07
963,handbag,7,0.07
964,flor,7,0.07
965,chairwheel,7,0.07
966,cooler,7,0.07
967,plasticchair,7,0.07
968,roll,7,0.07
969,papercutter,7,0.07
970,posters,7,0.07
971,tripod,7,0.07
972,woodcabinet,7,0.07
973,entrance,7,0.07
974,metalcabinet,7,0.07
975,memo,7,0.07
976,info,7,0.07
977,blankets,7,0.07
978,filingcabinets,7,0.07
979,icebucket,7,0.07
980,handwash,7,0.07
981,stackofchairs,7,0.07
982,drainage,7,0.07
983,waste,7,0.07
984,leaf,7,0.07
985,brochure,7,0.07
986,a/cunit,7,0.07
987,electrical,7,0.07
988,rollingcart,7,0.07
989,displayboard,7,0.07
990,lady,7,0.07
991,credenza,7,0.07
992,tableandchair,7,0.07
993,crownmolding,7,0.07
994,trunk,7,0.07
995,phillow,7,0.07
996,skirt,7,0.07
997,regulator,7,0.07
998,kitchen,7,0.07
999,paperdispenser,7,0.07
1000,switches,7,0.07
1001,wastebascket,7,0.07
1002,sandal,7,0.07
1003,blinders,7,0.07
1004,electricalcover,7,0.07
1005,cylinder,7,0.07
1006,travelbag,7,0.07
1007,tank,7,0.07
1008,toilettissue,7,0.07
1009,labcoat,7,0.07
1010,plateform,6,0.06
1011,structure,6,0.06
1012,fax,6,0.06
1013,cubicalwall,6,0.06
1014,keyboardtray,6,0.06
1015,woodsheet,6,0.06
1016,webcam,6,0.06
1017,papercup,6,0.06
1018,wwall,6,0.06
1019,doorhinge,6,0.06
1020,electricbox,6,0.06
1021,paperholder,6,0.06
1022,medicine,6,0.06
1023,dryeraser,6,0.06
1024,sprayer,6,0.06
1025,tissueroll,6,0.06
1026,glas,6,0.06
1027,woodenframe,6,0.06
1028,foodprocessor,6,0.06
1029,potholder,6,0.06
1030,ovenmitt,6,0.06
1031,fryingpan,6,0.06
1032,kitchencabinet,6,0.06
1033,clothe,6,0.06
1034,aircooler,6,0.06
1035,powerbox,6,0.06
1036,shutter,6,0.06
1037,onion,6,0.06
1038,football,6,0.06
1039,letter,6,0.06
1040,waterheater,6,0.06
1041,spray,6,0.06
1042,baskets,6,0.06
1043,paperorganizer,6,0.06
1044,dvds,6,0.06
1045,waterjug,6,0.06
1046,woodbox,6,0.06
1047,laundrybag,6,0.06
1048,apron,6,0.06
1049,beanbag,6,0.06
1050,toiletries,6,0.06
1051,studytable,6,0.06
1052,slidingglassdoor,6,0.06
1053,refregerator,6,0.06
1054,handtowel,6,0.06
1055,fax_machine,6,0.06
1056,gate,6,0.06
1057,dish_scrubber,6,0.06
1058,papertowelholder,6,0.06
1059,waffle_iron,6,0.06
1060,ironing_board,6,0.06
1061,fire_alarm,6,0.06
1062,humidifier,6,0.06
1063,decanter,6,0.06
1064,typewriter,6,0.06
1065,walkie_talkie,6,0.06
1066,plastictray,6,0.06
1067,exercise_equipment,6,0.06
1068,high_chair,6,0.06
1069,foosball_table,6,0.06
1070,pool_table,6,0.06
1071,rope,6,0.06
1072,clothingiron,6,0.06
1073,pepper_grinder,6,0.06
1074,curtain_rod,6,0.06
1075,consolecontroller,6,0.06
1076,dogbowl,6,0.06
1077,antenna,6,0.06
1078,tent,6,0.06
1079,hammer,6,0.06
1080,tails,6,0.06
1081,intercom,6,0.06
1082,wallshelf,6,0.06
1083,dresserwithmirror,6,0.06
1084,knickknack,6,0.06
1085,bureau,6,0.06
1086,systemtable,6,0.06
1087,framedart,6,0.06
1088,keyhole,6,0.06
1089,revolvingchair,6,0.06
1090,televisionstand,6,0.06
1091,document,6,0.06
1092,doubledoors,6,0.06
1093,electriccord,6,0.06
1094,alarmclock,6,0.06
1095,headrest,6,0.06
1096,clotheshamper,6,0.06
1097,wallmirror,6,0.06
1098,hood,6,0.06
1099,gasstove,6,0.06
1100,lamps,6,0.06
1101,breakerbox,6,0.06
1102,powerswitch,6,0.06
