stage,scene_type,scene,classes_present,split
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1178,lamp|pillow|bed|mirror,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1184,bed|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1190,picture|lamp|pillow|bed|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU1193,bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000191_2014-05-12_17-07-38_260595134347_rgbf000199-resize,picture|lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000410_2014-06-04_19-24-42_260595134347_rgbf000342-resize,lamp|pillow|bed|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000823_2014-06-04_19-25-17_260595134347_rgbf000071-resize,picture|lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\001101_2014-06-15_17-47-04_260595134347_rgbf000155-resize,bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\001102_2014-06-15_17-48-39_260595134347_rgbf000361-resize,bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002156_2014-06-27_23-54-19_260595134347_rgbf000104-resize,lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002496_2014-05-25_16-51-16_094959634447_rgbf000101-resize,lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002498_2014-05-25_16-53-23_094959634447_rgbf000785-resize,lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002500_2014-05-25_16-57-02_094959634447_rgbf000632-resize,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002766_2014-06-22_19-18-39_094959634447_rgbf000059-resize,curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003102_2014-06-24_21-05-50_094959634447_rgbf000070-resize,pillow|bed|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\home_ac\home_ac_scan1_2012_aug_22\0012288-000532169006,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\home_ac\home_ac_scan2_2012_aug_22\0011706-001225423950,,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\home_ac\home_ac_scan2_2012_aug_22\0016687-001393423950,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\home_bksh\home_bksh_oct_30_2012_scan2_erika\0011995-000523019540,bed|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\home_han\apartment_han_oct_31_2012_scan1_erika\0002668-000111206088,lamp|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\home_md\home_md_scan1_lowres_2012_july_14\0000226-000265071014,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\home_md\home_md_scan1_lowres_2012_july_14\0001447-000339665009,lamp|pillow|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\home_md\home_md_scan4_2012_july_29\0003068-000398584991,lamp|pillow,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\home_md\home_md_scan5_2012_aug_20\0006889-000382963013,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\home_ph_cz\ph_cz_1\0023953-000802808748,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\home_ts\apartment_ts_oct_31_2012_scan1_erika\0001266-000051621799,picture|lamp|bottle|mirror,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\home_ts\apartment_ts_oct_31_2012_scan1_erika\0004873-000195874663,bag,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_barcelona\scan1_2012_july_23\0000012-000068309998,picture|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_barcelona\scan1_2012_july_23\0001035-000124279999,lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_beijing\beijing_hotel_1\0000135-000004524660,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_beijing\beijing_hotel_1\0008057-000270038412,picture|pillow,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_beijing\beijing_hotel_2\0002667-000089353656,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_casarural\casarural_scan1_2012_july_22\0000012-000064427002,pillow,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_casarural\casarural_scan1_2012_july_22\0000213-000076808998,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_casarural\casarural_scan1_2012_july_22\0001369-000157210007,,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_graz\scan1_2012_aug_29\0000275-000127152000,lamp|pillow|bed|bag,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_grenoble\scan1_2012_july_11\0000008-000416091003,lamp|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_hkust\hk_hotel_1\0003157-000105843528,lamp|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_mr\scan1\0002408-000128110001,,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_mr\scan1\0005635-000238263000,bag,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_nips2012\nips_1\0003770-000126339970,lamp,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_nips2012\nips_1\0007838-000262716574,,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_ny\hotel_ny_2012_oct_21_scan1\0001477-000062708436,lamp|pillow|bed|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_pedraza\hotel_room_pedraza_2012_nov_25\0000937-000031485457,lamp|pillow|bed|curtain|mirror,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_pittsburg\hotel_pittsburg_scan1_2012_dec_12\0005205-000174521223,picture|lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_pittsburg\hotel_pittsburg_scan1_2012_dec_12\0007076-000237263175,mirror,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_pittsburg\hotel_pittsburg_scan1_2012_dec_12\0016176-000542292291,lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_sf\scan1\0007675-000371477997,mirror,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_uc\scan2\0007644-000403144989,mirror,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_ucla_jx\ucla_hotel_1\0000790-000026444124,lamp,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_ucla_jx\ucla_hotel_1\0003743-000125517420,,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_ucsd\la1\0001745-000058518936,bed|bag,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hotel_umd\maryland_hotel1\0000699-000023394168,bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hyatt_cambridge\hyatt_cambridge\0011342-000380138472,lamp|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\hyatt_cambridge\hyatt_cambridge\0012568-000421229088,lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_dorm_baker_cj\dorm_baker_cj_oct_29_2012_scan1_erika\0000257-000009987768,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_dorm_baker_cj\dorm_baker_cj_oct_29_2012_scan1_erika\0001221-000052083864,bed|bottle|mirror,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_dorm_ec_tam\dorm_ec_tam_oct_30_2012_scan1_erika\0001899-000084221432,bottle,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_dorm_masseeh_wm\dorm_masseeh_wm_oct_29_2012_scan1_erika\0000671-000030809585,,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_dorm_masseeh_wm\dorm_masseeh_wm_oct_29_2012_scan1_erika\0004760-000213907493,bag,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_dorm_masseeh_xc\dorm_masseeh_xc_oct_29_2012_scan1_erika\0000006-000000268176,bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_dorm_masseeh_xc\dorm_masseeh_xc_oct_29_2012_scan1_erika\0000661-000027751296,lamp|pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_dorm_next_552\dorm_next_552_oct_30_2012_scan1_erika\0000266-000012467952,mirror,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_w85_16\16_1\0007499-000251336484,bed|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_w85_16\16_1\0008977-000300906648,,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_w85_4\4_1\0005924-000198581899,lamp|pillow|bed|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_w85_4\4_1\0006346-000212759167,,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_w85_8\8_1\0002599-000087103638,pillow,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_w85a\a2\0000688-000023025492,pillow|bed|curtain,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_w85h\h4_1\0003493-000117054855,,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_w85h\h4_1\0003610-000120976227,bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_w85h\h4_1\0005501-000184388499,pillow|bed|bag,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_w85k1\scan_1\0004079-000136688603,bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_w85k2\k1\0001658-000055549659,pillow|bed,SceneType-3stage
Stage 1 – Bedroom,bedroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_w85k2\k1\0005051-000169302963,,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0117,,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0142,,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0160,cabinet|keyboard,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0173,paper|monitor|keyboard,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0185,shelf|box,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0207,monitor|keyboard,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0209,monitor,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0210,paper|monitor|keyboard,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0264,box|keyboard,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0425,monitor,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\b3dodata\img_0445,monitor|keyboard,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\align_kv2\2014-12-18_12-25-39_260595134347,shelf|box|paper,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000643_2014-06-08_16-59-43_260595134347_rgbf000183-resize,picture|keyboard,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000750_2014-06-08_21-56-25_260595134347_rgbf000110-resize,cabinet|shelf|box,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000751_2014-06-08_21-56-46_260595134347_rgbf000096-resize,paper|bottle,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\000969_2014-06-08_16-36-08_260595134347_rgbf000118-resize,picture,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\001265_2014-06-16_16-10-39_260595134347_rgbf000091-resize,cabinet|lamp|monitor|bottle|keyboard,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002542_2014-06-24_13-38-06_094959634447_rgbf000076-resize,box|paper|monitor|bag,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\brown_bm_3\brown_bm_3\0003939-000132254136,cabinet,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\brown_bm_3\brown_bm_3\0004456-000149581908,shelf|keyboard|light,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_46_ted_lab2\ted_lab_a\0000455-000015427707,cabinet,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_lab_hj\lab_hj_work_nov_2_2012_scan1_erika\0000538-000024299100,shelf|box|curtain,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_ne47_huge_office\ne47_floor2_office_2\0004002-000134110640,,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\sun3ddata\mit_w16\kresge_back\0013206-000569680886,,SceneType-3stage
Stage 2 – Office,office,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\xtion\xtion_align_data\2014_12_18_12_25_43,shelf|box,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0284,chair|cabinet|shelf|desk|box|picture|book,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0285,chair|cabinet|shelf|desk|picture|book,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0286,chair|window|cabinet|desk|paper,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv1\NYUdata\NYU0287,chair|table|window|cabinet|shelf|desk|box|picture|book|paper|monitor,SceneType-3stage
